City,Latitude,Longitude,Rainfall_mm,River_Level_m,Soil_Moisture_%,Elevation_m,Risk_Label
Mumbai,19.076,72.8777,19.93,10.71,22.42,14,2
Mumbai,19.076,72.8777,40.46,14.62,30.03,14,2
Mumbai,19.076,72.8777,41.58,16.85,28.57,14,2
Mumbai,19.076,72.8777,20.85,10.24,12.02,14,2
Mumbai,19.076,72.8777,14.84,6.14,10.0,14,0
Mumbai,19.076,72.8777,0.0,4.97,10.0,14,0
Mumbai,19.076,72.8777,0.0,4.18,14.66,14,0
Mumbai,19.076,72.8777,5.48,8.23,10.0,14,0
Mumbai,19.076,72.8777,0.0,7.22,10.0,14,0
Mumbai,19.076,72.8777,17.51,9.3,11.09,14,0
Mumbai,19.076,72.8777,0.0,10.7,10.0,14,2
Mumbai,19.076,72.8777,0.0,8.65,10.0,14,0
Mumbai,19.076,72.8777,14.18,5.92,10.0,14,0
Mumbai,19.076,72.8777,13.94,11.26,12.86,14,2
Mumbai,19.076,72.8777,7.69,7.94,10.0,14,0
Mumbai,19.076,72.8777,0.0,6.08,10.57,14,0
Mumbai,19.076,72.8777,16.87,6.85,16.74,14,0
Mumbai,19.076,72.8777,2.3,6.11,10.0,14,0
Mumbai,19.076,72.8777,30.62,14.99,16.1,14,2
Mumbai,19.076,72.8777,3.82,8.43,12.81,14,0
Mumbai,19.076,72.8777,0.42,6.71,10.0,14,0
Mumbai,19.076,72.8777,0.0,8.63,13.56,14,0
Mumbai,19.076,72.8777,8.56,10.72,10.46,14,2
Mumbai,19.076,72.8777,0.0,7.72,15.38,14,0
Mumbai,19.076,72.8777,9.28,11.99,10.0,14,2
Mumbai,19.076,72.8777,26.44,12.46,18.16,14,2
Mumbai,19.076,72.8777,11.84,5.39,10.0,14,0
Mumbai,19.076,72.8777,17.14,13.38,10.0,14,2
Mumbai,19.076,72.8777,0.0,6.0,10.0,14,0
Mumbai,19.076,72.8777,16.58,9.26,18.39,14,0
Mumbai,19.076,72.8777,11.94,11.33,10.0,14,2
Mumbai,19.076,72.8777,3.45,6.91,10.0,14,0
Mumbai,19.076,72.8777,15.92,10.71,12.79,14,2
Mumbai,19.076,72.8777,5.31,5.23,10.0,14,0
Mumbai,19.076,72.8777,3.15,6.02,10.0,14,0
Mumbai,19.076,72.8777,18.08,14.39,16.21,14,2
Mumbai,19.076,72.8777,15.15,9.88,10.0,14,2
Mumbai,19.076,72.8777,9.47,9.01,32.21,14,0
Mumbai,19.076,72.8777,6.15,8.83,10.0,14,0
Mumbai,19.076,72.8777,0.0,9.29,10.0,14,0
Mumbai,19.076,72.8777,25.82,10.35,34.68,14,2
Mumbai,19.076,72.8777,0.0,8.17,21.9,14,0
Mumbai,19.076,72.8777,0.0,5.87,10.0,14,0
Mumbai,19.076,72.8777,0.0,3.9,10.0,14,0
Mumbai,19.076,72.8777,0.0,7.95,10.0,14,0
Mumbai,19.076,72.8777,41.0,13.63,29.58,14,2
Mumbai,19.076,72.8777,26.27,9.79,23.29,14,0
Mumbai,19.076,72.8777,36.14,11.01,30.76,14,2
Mumbai,19.076,72.8777,15.2,11.6,10.0,14,2
Mumbai,19.076,72.8777,0.0,8.04,10.0,14,0
Mumbai,19.076,72.8777,15.01,10.69,10.0,14,2
Mumbai,19.076,72.8777,14.65,10.52,10.0,14,2
Mumbai,19.076,72.8777,47.32,17.41,25.94,14,2
Mumbai,19.076,72.8777,23.13,9.68,26.38,14,0
Mumbai,19.076,72.8777,33.17,11.99,36.17,14,2
Mumbai,19.076,72.8777,18.26,12.3,33.57,14,2
Mumbai,19.076,72.8777,5.09,6.51,10.0,14,0
Mumbai,19.076,72.8777,0.0,6.85,10.0,14,0
Mumbai,19.076,72.8777,15.53,11.76,12.56,14,2
Mumbai,19.076,72.8777,39.07,14.28,58.46,14,2
Mumbai,19.076,72.8777,22.51,9.79,10.0,14,0
Mumbai,19.076,72.8777,19.65,10.48,22.86,14,2
Mumbai,19.076,72.8777,19.46,10.75,10.0,14,2
Mumbai,19.076,72.8777,0.0,6.11,10.0,14,0
Mumbai,19.076,72.8777,14.28,7.36,13.16,14,0
Mumbai,19.076,72.8777,17.71,8.77,15.7,14,0
Mumbai,19.076,72.8777,11.16,6.95,12.51,14,0
Mumbai,19.076,72.8777,21.22,13.41,27.51,14,2
Mumbai,19.076,72.8777,0.0,5.12,10.0,14,0
Mumbai,19.076,72.8777,20.28,12.09,54.75,14,2
Mumbai,19.076,72.8777,21.42,13.55,26.67,14,2
Mumbai,19.076,72.8777,23.03,10.98,26.01,14,2
Mumbai,19.076,72.8777,0.0,6.53,10.0,14,0
Mumbai,19.076,72.8777,11.64,13.96,10.0,14,2
Mumbai,19.076,72.8777,23.73,8.52,14.26,14,0
Mumbai,19.076,72.8777,31.78,13.48,14.65,14,2
Mumbai,19.076,72.8777,0.0,8.36,10.0,14,0
Mumbai,19.076,72.8777,14.33,9.96,10.0,14,2
Mumbai,19.076,72.8777,52.88,18.84,22.05,14,2
Mumbai,19.076,72.8777,13.73,8.42,19.51,14,0
Mumbai,19.076,72.8777,0.0,6.77,10.0,14,0
Mumbai,19.076,72.8777,27.32,10.06,18.51,14,2
Mumbai,19.076,72.8777,0.5,5.79,18.06,14,0
Mumbai,19.076,72.8777,18.1,8.1,23.66,14,0
Mumbai,19.076,72.8777,52.44,19.55,26.76,14,2
Mumbai,19.076,72.8777,0.32,9.6,10.0,14,0
Mumbai,19.076,72.8777,18.88,12.32,10.0,14,2
Mumbai,19.076,72.8777,8.81,2.28,10.0,14,0
Mumbai,19.076,72.8777,4.95,5.49,20.28,14,0
Mumbai,19.076,72.8777,0.0,6.12,10.0,14,0
Mumbai,19.076,72.8777,38.83,11.89,42.69,14,2
Mumbai,19.076,72.8777,10.2,7.08,12.78,14,0
Mumbai,19.076,72.8777,13.98,8.6,11.88,14,0
Mumbai,19.076,72.8777,2.29,7.69,10.0,14,0
Mumbai,19.076,72.8777,41.72,12.87,54.71,14,2
Mumbai,19.076,72.8777,0.0,6.7,10.0,14,0
Mumbai,19.076,72.8777,15.62,8.88,10.41,14,0
Mumbai,19.076,72.8777,0.14,5.85,10.0,14,0
Mumbai,19.076,72.8777,17.14,9.04,22.71,14,0
Mumbai,19.076,72.8777,16.15,11.85,19.21,14,2
Mumbai,19.076,72.8777,0.0,5.88,10.0,14,0
Mumbai,19.076,72.8777,22.21,11.4,18.94,14,2
Mumbai,19.076,72.8777,35.55,12.93,33.91,14,2
Mumbai,19.076,72.8777,5.96,7.76,15.75,14,0
Mumbai,19.076,72.8777,26.51,13.93,34.26,14,2
Mumbai,19.076,72.8777,10.42,10.45,10.0,14,2
Mumbai,19.076,72.8777,16.48,10.04,14.16,14,2
Mumbai,19.076,72.8777,21.9,9.74,38.45,14,0
Mumbai,19.076,72.8777,0.0,4.57,11.58,14,0
Mumbai,19.076,72.8777,25.83,13.41,26.95,14,2
Mumbai,19.076,72.8777,9.76,7.16,10.0,14,0
Mumbai,19.076,72.8777,0.0,8.95,10.0,14,0
Mumbai,19.076,72.8777,0.0,6.36,10.0,14,0
Mumbai,19.076,72.8777,0.0,5.36,10.0,14,0
Mumbai,19.076,72.8777,14.9,8.97,10.0,14,0
Mumbai,19.076,72.8777,14.64,7.03,10.0,14,0
Mumbai,19.076,72.8777,0.0,6.57,10.0,14,0
Mumbai,19.076,72.8777,39.51,16.62,30.01,14,2
Mumbai,19.076,72.8777,9.62,6.92,10.0,14,0
Mumbai,19.076,72.8777,4.23,8.49,10.0,14,0
Mumbai,19.076,72.8777,20.39,14.14,15.22,14,2
Mumbai,19.076,72.8777,18.03,11.99,10.42,14,2
Mumbai,19.076,72.8777,14.48,9.92,12.56,14,2
Mumbai,19.076,72.8777,0.0,7.05,10.0,14,0
Mumbai,19.076,72.8777,39.02,16.72,52.75,14,2
Mumbai,19.076,72.8777,0.0,8.74,10.0,14,0
Mumbai,19.076,72.8777,53.8,16.14,34.64,14,2
Mumbai,19.076,72.8777,0.0,2.75,10.0,14,0
Mumbai,19.076,72.8777,0.0,7.3,10.0,14,0
Mumbai,19.076,72.8777,47.52,18.41,32.25,14,2
Mumbai,19.076,72.8777,0.0,7.98,10.0,14,0
Mumbai,19.076,72.8777,46.63,18.68,32.61,14,2
Mumbai,19.076,72.8777,0.0,9.71,10.0,14,0
Mumbai,19.076,72.8777,34.76,10.76,21.81,14,2
Mumbai,19.076,72.8777,10.1,9.11,10.0,14,0
Mumbai,19.076,72.8777,22.46,9.36,16.54,14,0
Mumbai,19.076,72.8777,12.41,10.51,17.04,14,2
Mumbai,19.076,72.8777,0.0,3.93,12.78,14,0
Mumbai,19.076,72.8777,16.65,8.83,28.83,14,0
Mumbai,19.076,72.8777,12.31,11.82,10.53,14,2
Mumbai,19.076,72.8777,51.21,20.75,38.48,14,2
Mumbai,19.076,72.8777,29.43,14.18,37.23,14,2
Mumbai,19.076,72.8777,0.0,8.37,10.58,14,0
Mumbai,19.076,72.8777,0.0,4.63,10.0,14,0
Mumbai,19.076,72.8777,4.61,9.36,18.71,14,0
Mumbai,19.076,72.8777,11.48,12.55,10.0,14,2
Mumbai,19.076,72.8777,0.0,6.89,10.0,14,0
Mumbai,19.076,72.8777,9.35,4.73,10.0,14,0
Mumbai,19.076,72.8777,0.0,8.34,10.0,14,0
Mumbai,19.076,72.8777,0.0,5.97,10.0,14,0
Mumbai,19.076,72.8777,27.72,14.45,17.71,14,2
Mumbai,19.076,72.8777,0.78,6.1,10.0,14,0
Mumbai,19.076,72.8777,15.84,8.1,13.25,14,0
Mumbai,19.076,72.8777,0.0,5.6,10.0,14,0
Mumbai,19.076,72.8777,27.26,12.01,14.44,14,2
Mumbai,19.076,72.8777,43.68,15.19,11.93,14,2
Mumbai,19.076,72.8777,0.0,9.73,10.0,14,0
Mumbai,19.076,72.8777,0.0,13.16,11.2,14,2
Mumbai,19.076,72.8777,21.07,9.3,10.0,14,0
Mumbai,19.076,72.8777,0.0,5.71,10.0,14,0
Mumbai,19.076,72.8777,151.92,39.15,100.0,14,3
Mumbai,19.076,72.8777,28.24,15.69,27.98,14,2
Mumbai,19.076,72.8777,0.0,6.62,13.96,14,0
Mumbai,19.076,72.8777,0.0,4.2,10.0,14,0
Mumbai,19.076,72.8777,0.0,6.03,10.0,14,0
Mumbai,19.076,72.8777,0.0,7.1,10.0,14,0
Mumbai,19.076,72.8777,27.43,12.39,25.85,14,2
Mumbai,19.076,72.8777,30.42,11.93,31.89,14,2
Mumbai,19.076,72.8777,76.54,20.35,81.66,14,2
Mumbai,19.076,72.8777,93.26,24.33,80.31,14,2
Mumbai,19.076,72.8777,0.0,3.39,10.0,14,0
Mumbai,19.076,72.8777,11.7,10.62,10.0,14,2
Mumbai,19.076,72.8777,24.57,9.49,18.17,14,0
Mumbai,19.076,72.8777,3.4,9.69,10.0,14,0
Mumbai,19.076,72.8777,90.84,22.91,65.44,14,2
Mumbai,19.076,72.8777,148.43,37.84,100.0,14,2
Mumbai,19.076,72.8777,67.01,19.19,58.49,14,2
