timestamp,rainfall_24h,region_id,elevation,distance_to_river_m,soil_clay_pct,population_density,flood_occurred
2026-08-20,1.3,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-08-21,11.9,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-08-22,1.0,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-08-23,2.5,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-08-24,2.9,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-08-25,29.1,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-08-26,14.0,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-08-27,4.7,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-08-28,11.6,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-08-29,2.5,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-08-30,30.4,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-08-31,16.0,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-09-01,17.3,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-09-02,6.0,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-09-03,5.0,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-09-04,6.6,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-09-05,6.6,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-09-06,9.2,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-09-07,7.6,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-09-08,2.5,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-09-09,1.6,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-09-10,0.3,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-09-11,4.7,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-09-12,12.6,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-09-13,28.7,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-09-14,0.0,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-09-15,0.8,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-09-16,4.4,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-09-17,11.3,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-09-18,21.5,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-09-19,0.0,18-300-00101,78.79,1718.8,28.3,322.7,0
2026-08-20,6.3,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-08-21,19.1,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-08-22,2.0,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-08-23,1.9,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-08-24,2.1,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-08-25,18.8,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-08-26,11.6,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-08-27,1.5,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-08-28,14.0,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-08-29,8.9,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-08-30,56.2,18-300-00102,45.45,1585.7,28.3,365.4,1
2026-08-31,28.3,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-09-01,11.5,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-09-02,6.3,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-09-03,14.3,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-09-04,6.3,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-09-05,5.5,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-09-06,4.9,18-300-00102,45.45,1585.7,28.3,365.4,0
2026-09-07,7.8,18-300-00102,45.45,1585.7,28.3,365.4,0
