region_id,timestamp,rainfall_24h,forecast_rainfall_6h,rainfall_3d_cumulative,rainfall_7d_cumulative,elevation,distance_to_river_m,soil_clay_pct,population_density,runoff_potential_index,proximity_risk_score,flood_occurred
18-300-00101,2025-09-19,13.5,0.0,13.5,13.5,78.79,1718.8,28.3,322.7,4.788194009274345,7.422476358038267,0
18-300-00101,2025-09-20,0.0,0.0,13.5,13.5,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-09-21,0.0,4.24,13.5,13.5,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-09-22,5.3,3.6799999999999997,5.3,18.8,78.79,1718.8,28.3,322.7,1.8798094999373354,2.9140092368594677,0
18-300-00101,2025-09-23,4.6,1.7600000000000002,9.899999999999999,23.4,78.79,1718.8,28.3,322.7,1.6315327735305176,2.5291400923685945,0
18-300-00101,2025-09-24,2.2,0.0,12.1,25.6,78.79,1718.8,28.3,322.7,0.7802982829928562,1.2095887398284584,0
18-300-00101,2025-09-25,0.0,0.0,6.8,25.6,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-09-26,0.0,0.8,2.2,12.1,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-09-27,1.0,0.32000000000000006,1.0,13.1,78.79,1718.8,28.3,322.7,0.35468103772402554,0.5498130635583901,0
18-300-00101,2025-09-28,0.4,4.0,1.4,13.5,78.79,1718.8,28.3,322.7,0.1418724150896102,0.21992522542335607,0
18-300-00101,2025-09-29,5.0,4.720000000000001,6.4,13.2,78.79,1718.8,28.3,322.7,1.7734051886201276,2.749065317791951,0
18-300-00101,2025-09-30,5.9,39.2,11.3,14.500000000000002,78.79,1718.8,28.3,322.7,2.092618122571751,3.243897074994502,0
18-300-00101,2025-10-01,49.0,4.0,59.9,61.3,78.79,1718.8,28.3,322.7,17.37937084847725,26.94084011436112,0
18-300-00101,2025-10-02,5.0,13.040000000000001,59.9,66.3,78.79,1718.8,28.3,322.7,1.7734051886201276,2.749065317791951,0
18-300-00101,2025-10-03,16.3,17.919999999999998,70.3,82.6,78.79,1718.8,28.3,322.7,5.781300914901617,8.96195293600176,0
18-300-00101,2025-10-04,22.4,45.28,43.7,104.0,78.79,1718.8,28.3,322.7,7.9448552450181715,12.315812623707938,0
18-300-00101,2025-10-05,56.6,3.84,95.3,160.2,78.79,1718.8,28.3,322.7,20.074946735179847,31.119419397404883,1
18-300-00101,2025-10-06,4.8,0.24,83.8,160.0,78.79,1718.8,28.3,322.7,1.7024689810753226,2.6391027050802727,0
18-300-00101,2025-10-07,0.3,1.2000000000000002,61.699999999999996,154.39999999999998,78.79,1718.8,28.3,322.7,0.10640431131720766,0.16494391906751704,0
18-300-00101,2025-10-08,1.5,0.7200000000000001,6.6,106.89999999999999,78.79,1718.8,28.3,322.7,0.5320215565860383,0.8247195953375852,0
18-300-00101,2025-10-09,0.9,0.4,2.7,102.8,78.79,1718.8,28.3,322.7,0.31921293395162303,0.4948317572025511,0
18-300-00101,2025-10-10,0.5,4.32,2.9000000000000004,87.0,78.79,1718.8,28.3,322.7,0.17734051886201277,0.27490653177919505,0
18-300-00101,2025-10-11,5.4,0.24,6.800000000000001,70.0,78.79,1718.8,28.3,322.7,1.915277603709738,2.968990543215307,0
18-300-00101,2025-10-12,0.3,0.16000000000000003,6.2,13.700000000000001,78.79,1718.8,28.3,322.7,0.10640431131720766,0.16494391906751704,0
18-300-00101,2025-10-13,0.2,0.0,5.9,9.100000000000001,78.79,1718.8,28.3,322.7,0.0709362075448051,0.10996261271167804,0
18-300-00101,2025-10-14,0.0,0.0,0.5,8.8,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-10-15,0.0,0.0,0.2,7.300000000000001,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-10-16,0.0,0.0,0.0,6.4,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-10-17,0.0,0.7200000000000001,0.0,5.9,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-10-18,0.9,0.0,0.9,1.4,78.79,1718.8,28.3,322.7,0.31921293395162303,0.4948317572025511,0
18-300-00101,2025-10-19,0.0,0.0,0.9,1.1,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-10-20,0.0,0.0,0.9,0.9,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-10-21,0.0,0.0,0.0,0.9,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-10-22,0.0,0.0,0.0,0.9,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-10-23,0.0,0.32000000000000006,0.0,0.9,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-10-24,0.4,7.359999999999999,0.4,1.3,78.79,1718.8,28.3,322.7,0.1418724150896102,0.21992522542335607,0
18-300-00101,2025-10-25,9.2,0.6400000000000001,9.6,9.6,78.79,1718.8,28.3,322.7,3.2630655470610352,5.058280184737189,0
18-300-00101,2025-10-26,0.8,0.08000000000000002,10.4,10.4,78.79,1718.8,28.3,322.7,0.2837448301792204,0.43985045084671215,0
18-300-00101,2025-10-27,0.1,0.5599999999999999,10.1,10.5,78.79,1718.8,28.3,322.7,0.03546810377240255,0.05498130635583902,0
18-300-00101,2025-10-28,0.7,0.24,1.6,11.2,78.79,1718.8,28.3,322.7,0.24827672640681786,0.38486914449087306,0
18-300-00101,2025-10-29,0.3,10.240000000000002,1.0999999999999999,11.5,78.79,1718.8,28.3,322.7,0.10640431131720766,0.16494391906751704,0
18-300-00101,2025-10-30,12.8,33.52,13.8,24.3,78.79,1718.8,28.3,322.7,4.539917282867527,7.037607213547394,0
18-300-00101,2025-10-31,41.9,14.56,55.0,65.8,78.79,1718.8,28.3,322.7,14.86113548063667,23.037167363096547,0
18-300-00101,2025-11-01,18.2,0.0,72.9,74.8,78.79,1718.8,28.3,322.7,6.455194886577264,10.0065977567627,0
18-300-00101,2025-11-02,0.0,0.08000000000000002,60.099999999999994,74.0,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-11-03,0.1,0.0,18.3,74.00000000000001,78.79,1718.8,28.3,322.7,0.03546810377240255,0.05498130635583902,0
18-300-00101,2025-11-04,0.0,0.0,0.1,73.30000000000001,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-11-05,0.0,2.08,0.1,73.00000000000001,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-11-06,2.6,0.08000000000000002,2.6,62.8,78.79,1718.8,28.3,322.7,0.9221706980824664,1.4295139652518145,0
18-300-00101,2025-11-07,0.1,0.0,2.7,21.000000000000007,78.79,1718.8,28.3,322.7,0.03546810377240255,0.05498130635583902,0
18-300-00101,2025-11-08,0.0,0.0,2.7,2.8000000000000074,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-11-09,0.0,0.0,0.1,2.8000000000000074,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-11-10,0.0,0.16000000000000003,0.0,2.7000000000000073,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-11-11,0.2,0.0,0.2,2.900000000000007,78.79,1718.8,28.3,322.7,0.0709362075448051,0.10996261271167804,0
18-300-00101,2025-11-12,0.0,0.08000000000000002,0.2,2.900000000000007,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-11-13,0.1,0.32000000000000006,0.30000000000000004,0.4000000000000071,78.79,1718.8,28.3,322.7,0.03546810377240255,0.05498130635583902,0
18-300-00101,2025-11-14,0.4,0.0,0.5,0.7000000000000072,78.79,1718.8,28.3,322.7,0.1418724150896102,0.21992522542335607,0
18-300-00101,2025-11-15,0.0,0.0,0.5,0.7000000000000072,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-11-16,0.0,0.0,0.4000000000000001,0.7000000000000072,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-11-17,0.0,0.0,0.0,0.7000000000000072,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-11-18,0.0,0.0,0.0,0.5000000000000071,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-11-19,0.0,0.0,0.0,0.5000000000000071,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-11-20,0.0,0.0,0.0,0.4000000000000071,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-11-21,0.0,0.48,0.0,0.0,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-11-22,0.6,0.7200000000000001,0.6000000000000001,0.6000000000000071,78.79,1718.8,28.3,322.7,0.21280862263441533,0.3298878381350341,0
18-300-00101,2025-11-23,0.9,0.0,1.5,1.500000000000007,78.79,1718.8,28.3,322.7,0.31921293395162303,0.4948317572025511,0
18-300-00101,2025-11-24,0.0,0.0,1.5,1.500000000000007,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-11-25,0.0,0.0,0.9,1.500000000000007,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-11-26,0.0,0.0,0.0,1.500000000000007,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-11-27,0.0,0.0,0.0,1.500000000000007,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-11-28,0.0,0.0,0.0,1.500000000000007,78.79,1718.8,28.3,322.7,0.0,0.0,0
18-300-00101,2025-11-29,0.0,0.0,0.0,0.9000000000000071,78.79,1718.8,28.3,322.7,0.0,0.0,0
